#"Potential Energy (kJ/mole)","Temperature (K)"
-42647.51096342527,5.386176322863053e-07
-42648.21408842527,4.127865732391369e-07
-42648.58908842527,3.6378960969328266e-07
-42649.08908842527,3.3503902899972624e-07
-42649.58908842527,3.134788649821729e-07
-42650.04221342527,2.989538134990942e-07
-42650.44846342527,2.885348210719985e-07
-42650.88596342527,2.7759040530727134e-07
-42651.32346342527,2.685958394242502e-07
-42651.82346342527,2.612952512904279e-07
-42420.83908842527,22.484037760072983
-42358.08908842527,22.292316573188568
-42333.22971342527,22.44172148472246
-42310.60471342527,22.571998192151945
-42312.91721342527,21.930156097702273
-42298.40158842527,22.179253887203373
-42287.35471342527,22.037347544595118
-42295.22971342527,22.420426980934018
-42292.32346342527,21.865758095231726
-42279.71408842527,22.47697190162341
-42116.94846342527,44.99612687290461
-41983.99533842527,45.18600462063319
-41954.37033842527,45.04528228169939
-41925.35471342527,44.757530766335265
-41911.38596342527,44.14569439459277
-41892.04221342527,46.355044152629496
-41899.16721342527,44.70516682300243
-41917.38596342527,44.4857929389719
-41895.13596342527,43.86754700731922
-41893.72971342527,44.739434602137464
-41881.19846342527,44.7289602652383
-41598.04221342527,66.31995515820137
-41490.72971342527,67.88541114174312
-41533.99533842527,68.38495560844915
-41490.22971342527,66.48920120469133
-41490.26096342527,68.18387476036293
-41516.13596342527,68.04459596973841
-41505.52658842527,68.03865846106643
-41512.04221342527,67.86762484665002
-41471.74533842527,65.93683704498935
-41544.58908842527,68.40865762019165
-41223.41721342527,89.51488662472003
-41178.47971342527,92.58940174656526
-41132.57346342527,90.05059236466873
-41083.80783842527,88.37407919202236
-41116.74533842527,90.61289358669188
-41062.76096342527,92.32110994250134
-41050.65158842527,89.53802316203961
-41008.13596342527,89.58139006992867
-41005.19846342527,91.25443950380718
-41059.97971342527,95.20575825876513
-40999.76096342527,111.93660969188443
-40827.68283842527,111.84949257322953
-40760.97971342527,112.8491167070519
-40693.29221342527,115.40842603625966
-40716.41721342527,116.28764461199081
-40636.69846342527,114.19246274627085
-40653.65158842527,110.77876668779578
-40689.69846342527,110.73700213094965
-40604.90158842527,113.44440620475433
-40653.93283842527,112.67347385990165
-40623.07346342527,114.16086284463901
-40347.74533842527,134.60519413069784
-40313.58908842527,138.9186271107653
-40253.93283842527,137.01411411544885
-40228.40158842527,136.2432870039198
-40242.47971342527,136.64059151182093
-40187.41721342527,133.8064910556514
-40231.38596342527,134.576829906346
-40238.90158842527,136.38230555892122
-40160.38596342527,133.6345731699764
-40239.52658842527,138.87841549540397
-39981.16721342527,159.54196428445354
-39854.37033842527,153.05137478463422
-39864.29221342527,156.05178143294555
-39861.26096342527,158.38339040652792
-39860.94846342527,156.30547467205938
-39771.72971342527,154.22867379559634
-39747.10471342527,155.9915482672804
-39732.35471342527,154.7836358437694
-39756.99533842527,156.19094188458828
-39757.16721342527,160.81732910767622
-39747.12033842527,154.9956265109271
-39494.85471342527,179.2633225607326
-39476.04221342527,174.14595373543452
-39353.01096342527,173.912698843352
-39359.29221342527,178.73268631607368
-39403.40158842527,177.76931590028786
-39306.01096342527,185.6169110480326
-39434.88596342527,179.01623228877844
-39278.72971342527,189.15975241622357
-39431.77658842527,174.3007135918345
-39272.82346342527,177.17510994280224
-38973.72971342527,210.00647555259886
-39048.71408842527,199.29556087430487
-39007.69846342527,198.32915479473135
-38959.71408842527,204.17374323669947
-38893.60471342527,199.61573139382457
-38916.58908842527,204.66249421019822
-38875.60471342527,203.0824581270908
-38873.69846342527,204.58486165960025
-38813.21408842527,195.64241370361722
-38905.83908842527,204.18316875707907
-38768.26096342527,223.6807477384885
-38624.97971342527,223.70081064630585
-38556.74533842527,222.02055870857674
-38381.13596342527,228.99469895117926
-38324.82346342527,226.25360304414042
-38415.15158842527,225.47432200553195
-38398.71408842527,222.05930660489534
-38305.65158842527,227.22490432103447
-38440.04221342527,228.83562681363026
-38440.63596342527,220.0786496210064
-38236.51096342527,219.61149780034512
-37953.74533842527,244.70461927410418
-37877.26096342527,254.51432280796055
-37932.10471342527,246.99301398972656
-37897.77658842527,241.6360129325167
-37801.85471342527,250.71300804293273
-37893.51096342527,246.9281910471981
-37781.15158842527,253.21410264809208
-38131.26096342527,243.80696788122074
-37868.04221342527,250.19874372850077
-37896.32346342527,243.88379213381864
-37560.26096342527,275.4738771266584
-37501.29221342527,271.0494593731372
-37452.24533842527,268.9499151191507
-37427.47971342527,265.0449724503764
-37361.35471342527,262.6072040903469
-37387.29221342527,264.74213114210033
-37435.80783842527,268.28094639339605
-37437.82346342527,275.6979753061949
-37425.41721342527,273.4553920021235
-37389.41721342527,270.87461221947666
-37309.01096342527,302.33024541141964
-37145.32346342527,293.06338282499496
-37129.24533842527,302.43497722204836
-37028.77658842527,296.0287489283879
-36879.57346342527,288.429402723484
-36661.97971342527,285.83700329521326
-36883.37033842527,290.218637587636
-36784.01096342527,290.5913912951056
-36603.52658842527,308.36248222297064
-36812.47971342527,291.52628327132885
-36862.47971342527,289.31085750723565
-36565.32346342527,314.99198990306263
-36517.99533842527,312.41524991100744
-36636.01096342527,313.6397270645624
-36182.51096342527,319.4117965322949
-36271.66721342527,309.85429790629644
-36178.74533842527,318.8576782917695
-36199.08908842527,324.69444456032784
-36077.13596342527,318.25160044297917
-36070.24533842527,309.9448503474811
-35957.49533842527,312.0560497504335
-35881.51096342527,343.4446891733059
-35705.74533842527,348.1530667819045
-35791.65158842527,337.37777277103356
-35547.82346342527,333.5493548713792
-35582.08908842527,333.02512027438644
-35530.38596342527,336.99159900946665
-35623.79221342527,348.4891081402557
-35427.13596342527,339.5044418036382
-35554.05783842527,336.08345112477633
-35347.54221342527,334.33007085981296
-35517.02658842527,327.02710268945964
-35393.94846342527,343.93756712487425
-35467.72971342527,327.25711635700105
-35260.82346342527,331.6128206594985
-35480.16721342527,345.18586798476895
-35415.22971342527,340.851171590985
-35398.26096342527,340.04219897119935
-35390.32346342527,328.35166882867435
-35304.85471342527,332.34293953458484
-35488.93283842527,327.6049035463146
-35445.94846342527,342.38960069998177
-35311.66721342527,340.0968185737009
-35290.82346342527,339.1043550524026
-35384.47971342527,349.2394994046628
-35510.52658842527,338.24124328093956
-35143.07346342527,334.3071687285092
-35361.05783842527,331.34884904966236
-35346.18283842527,343.0995423317078
-35379.21408842527,341.6430350131698
-35199.33908842527,324.84819198658084
-35277.07346342527,330.2786409079336
-35227.79221342527,328.52140950287287
-35395.35471342527,339.8892137432922
-35291.55783842527,337.2827893613037
-35338.19846342527,339.6206206593106
-35325.87033842527,343.0480150641102
-35279.68283842527,334.71045063993665
-35264.51096342527,342.7230469037615
-35329.38596342527,325.6789564107628
-35025.32346342527,334.61964928451914
-35434.29221342527,330.59925333972575
-35178.18283842527,340.6889847720226
-35054.40158842527,329.6173247566595
-35268.62033842527,341.08630006610525
-35068.30783842527,340.5452700151087
-35228.49533842527,346.7204025601273
-35019.82346342527,335.91470859147495
-35123.13596342527,328.84603228668544
-34853.33908842527,327.8893726671493
-34722.35471342527,339.81613643189115
-34823.33908842527,340.44123511941297
-34832.29221342527,341.50615224216057
-34946.57346342527,333.94665126210634
-35065.43283842527,339.05021671127673
-34962.66721342527,340.7416748020451
-34900.94846342527,351.2080592174688
-35027.93283842527,338.62339605118916
-35000.18283842527,331.7455246979332
-35084.88596342527,341.24357304204625
-35078.32346342527,329.43880365915766
-34980.32346342527,342.2444759875171
-35207.76096342527,336.87858973107257
-35184.29221342527,331.1969363144576
-35262.85471342527,332.1667854239475
-35048.33908842527,339.5748175396737
-34933.91721342527,346.03804712149525
-34734.88596342527,339.845778056804
-35005.68283842527,329.12104300326985
-34859.72971342527,341.0541040364266
-35078.51096342527,348.14309031117597
-34804.54221342527,344.2226245508222
-35095.54221342527,335.1704486242783
-34932.29221342527,338.29758604331124
-35085.80783842527,331.0652798344149
-35058.07346342527,337.1579844935849
-34974.65158842527,345.1003371602955
-34895.80783842527,336.92995360826023
-34931.01096342527,329.1032152410415
-34911.47971342527,335.55960772805855
-34835.37033842527,341.1096079845405
-34938.07346342527,336.8645517705325
-34939.47971342527,339.78391773048185
-34923.04221342527,342.01974171907506
-34918.94846342527,332.6635668812079
-34890.02658842527,339.75879022158244
-34746.57346342527,338.46179766391225
-34818.77658842527,331.95815556520625
-34803.01096342527,336.39993866071137
-34617.57346342527,330.141443305104
-34632.51096342527,340.0928354287403
-34886.90158842527,332.7597885571261
-34804.94846342527,341.7832714773722
-34907.07346342527,329.78194439329246
-34971.74533842527,328.915080268094
-34822.33908842527,325.59605554615024
-34939.35471342527,331.003125851009
-34913.13596342527,327.0673005140217
-34866.38596342527,348.8754332025827
-34903.65158842527,333.33872348865265
-34817.41721342527,349.618261662369
-34589.58908842527,328.77329842095315
-34781.91721342527,347.48442367710754
-34455.69846342527,332.2003151774626
-34452.16721342527,342.4782683815789
-34601.38596342527,333.57452245298475
-34641.62033842527,348.5689653904801
-34665.38596342527,333.1107562256338
-34241.21408842527,335.7166940846654
-34577.94846342527,334.2963199134738
-34629.60471342527,329.63775733711924
-34503.76096342527,332.19428412108897
-34372.26096342527,341.2775638335198
-34604.02658842527,336.85489990325766
-34527.10471342527,331.90721228831944
-34467.91721342527,343.0438205297359
-34516.21408842527,333.4779584636181
-34398.66721342527,336.51820200844753
-34516.93283842527,336.30871440376967
-34446.68283842527,343.3978308491361
-34522.29221342527,332.8276882923619
-34212.30783842527,343.6044598666836
-34423.01096342527,332.0171569310254
-34531.66721342527,335.2116305391161
-34416.66721342527,329.7500201999848
-34483.85471342527,351.6061315577448
-34284.02658842527,334.3362492383239
-34328.19846342527,336.34108554099475
-34452.38596342527,351.8560522552505
-34421.41721342527,328.66742578366774
-34284.41721342527,330.5335320750654
-34379.46408842527,328.76653577464
-34453.04221342527,337.0579985937166
-34449.01096342527,338.67026349879956
-34458.47971342527,348.28850746980476
-34341.79221342527,342.0837904232755
-34288.52658842527,344.8359177086697
-34295.38596342527,331.3901756145811
-34392.29221342527,335.3788230035045
-34304.54221342527,333.9468170894309
-34372.94846342527,338.64808058742085
-34186.16721342527,327.4381139684882
-34486.83908842527,342.2913839770435
-34288.13596342527,333.4911463283389
-34269.37033842527,337.62361788513823
-34305.07346342527,344.79799320401656
-34326.02658842527,345.04742829203747
-34412.04221342527,334.58725837875477
-34331.93283842527,331.5563379511325
-34137.79221342527,343.3430302744497
-34295.35471342527,345.1802064112328
-34450.51096342527,341.6579115176305
-34268.01096342527,353.0128013977669
-34395.32346342527,337.30162781215614
-34579.12033842527,339.4247923338226
-34300.57346342527,339.5174795531653
-34285.87033842527,341.01793022075543
-34325.54221342527,336.82374022946533
-34215.32346342527,342.7761335009865
-34355.54221342527,337.12804544883187
-34308.27658842527,340.3019672329568
-34405.82346342527,332.45857257097646
-34434.85471342527,341.1136031376815
-34563.43283842527,336.3966761661377
-34544.72971342527,338.44679000272174
-34489.96408842527,337.25565705735323
-34421.88596342527,342.5078883256633
-34329.04221342527,350.2070065414697
-34203.66721342527,327.70736360082844
-34428.26096342527,336.2498874084837
