#"Potential Energy (kJ/mole)","Temperature (K)"
-83187.43030217983,6.815913503204215e-07
-83189.08655217983,5.836355155735411e-07
-83190.71155217983,5.456106275662447e-07
-83191.86780217983,5.269177513583669e-07
-83193.05530217983,5.134551809554066e-07
-83194.27405217983,5.055173468966279e-07
-83195.43030217983,4.235605557750494e-07
-83196.58655217983,4.196856373154206e-07
-83197.80530217983,4.1796239056419e-07
-83199.18030217983,4.1687689548274395e-07
-82715.33655217983,22.265075214114578
-82605.33655217983,21.824414678027342
-82580.77405217983,22.622331437324807
-82529.46155217983,22.649817782095365
-82510.08655217983,22.316100477617535
-82511.68030217983,22.37583685457433
-82503.39905217983,22.812634062322605
-82504.33655217983,23.03290318666446
-82485.02405217983,22.34588910298048
-82464.64905217983,22.06325021367763
-82168.14905217983,44.8416054642975
-81899.68030217983,43.82194794461021
-81830.83655217983,45.21829094835684
-81771.27405217983,45.63112188581633
-81792.74280217983,44.908204637985676
-81764.64905217983,45.19002480529611
-81765.02405217983,46.048606925133946
-81723.27405217983,44.86863154237025
-81695.77405217983,46.65540124790278
-81695.71155217983,44.36498544669432
-81696.77405217983,45.3600796500634
-81149.86780217983,67.48781460014528
-81047.52405217983,68.43616035196416
-80971.52405217983,68.33630682967926
-81028.39905217983,67.42244027406196
-80922.02405217983,68.62651492548069
-80993.39905217983,66.63871271868173
-80938.83655217983,67.41013518640894
-80904.77405217983,67.46355289726112
-80914.58655217983,66.9762328921215
-80929.08655217983,67.06562307513053
-80380.80530217983,90.76816801721249
-80287.08655217983,89.76298155843205
-80252.89905217983,88.67501980285029
-80185.33655217983,90.61789336083741
-80151.21155217983,88.26083755003224
-80094.14905217983,91.50129182531106
-80112.02405217983,88.50543454351278
-80061.02405217983,89.88022448655678
-80073.02405217983,90.12628007363776
-80059.71155217983,91.11925020519969
-79945.58655217983,111.823724299507
-79501.46155217983,112.70095810186314
-79389.46155217983,112.8714800030938
-79383.33655217983,112.60975585657506
-79334.83655217983,115.22213608673925
-79246.30530217983,113.40822090157842
-79277.83655217983,115.24243345117625
-79272.77405217983,114.37485661890528
-79212.74280217983,110.42534073615445
-79209.83655217983,113.78189111364681
-79217.18030217983,113.33056075310448
-78736.39905217983,134.81333201680545
-78606.89905217983,134.91747029963156
-78585.30530217983,137.37100515010502
-78603.24280217983,133.70829241226846
-78470.64905217983,138.27504898521758
-78495.61780217983,134.12594468851998
-78436.08655217983,135.4419841683917
-78571.18030217983,137.69270811255302
-78474.46155217983,135.11882586923718
-78418.30530217983,136.6275729428256
-78067.61780217983,155.96766843459713
-77617.14905217983,156.2778236239712
-77473.43030217983,156.83323048449336
-77513.89905217983,156.63123548738258
-77658.21155217983,154.29142434614505
-77565.18030217983,156.30457363555053
-77553.64905217983,156.5774951836799
-77543.71155217983,157.69535810930017
-77483.71155217983,157.57576300523067
-77505.89905217983,156.8660247535247
-77544.21155217983,157.85579107952694
-76924.43030217983,183.62870795094366
-76797.71155217983,179.89183485292898
-76711.36780217983,180.44123901660944
-76632.68030217983,181.57595684808834
-76573.02405217983,182.4847989965886
-76617.46155217983,180.3354138694523
-76648.83655217983,178.40694880789306
-76588.52405217983,180.02796094524533
-76624.33655217983,178.3909781634761
-76588.71155217983,179.09260020538872
-76074.77405217983,201.95893262927123
-75739.99280217983,205.46172831818498
-75789.93030217983,203.43215393896762
-75798.58655217983,205.4046566878521
-75740.89905217983,205.45432316105047
-75587.27405217983,205.13886520619363
-75622.58655217983,199.70091531911086
-75771.18030217983,199.70276011870942
-75809.52405217983,198.24677045009767
-75474.52405217983,201.851608590154
-75400.21155217983,222.37223157253445
-74980.39905217983,226.7906314860918
-74881.64905217983,225.65525837567895
-74670.93030217983,219.838714382117
-74798.21155217983,225.89319738523534
-74785.64905217983,223.35758098565168
-74740.52405217983,227.3300023128719
-74718.27405217983,223.02330176144605
-74607.77405217983,228.0418028484606
-74701.08655217983,227.1202086980815
-74767.64905217983,225.2311956977855
-74028.49280217983,246.78759269163757
-73988.39905217983,245.04030490821103
-73849.27405217983,245.87436974243164
-73851.89905217983,248.68224909097452
-73804.83655217983,250.06993217791185
-73638.27405217983,252.18687225886526
-73621.33655217983,247.49485997500886
-73665.58655217983,241.2516831312811
-73630.52405217983,251.58882866311933
-73757.21155217983,247.3915673411985
-73211.05530217983,264.464755803119
-73206.08655217983,270.70156874068357
-73002.99280217983,271.6736687960827
-72869.96155217983,269.3543127198469
-72964.58655217983,268.86209837182696
-73160.96155217983,275.0169335627341
-73035.30530217983,271.0151734613495
-72727.96155217983,269.2209004218221
-72679.39905217983,269.02783083759954
-72724.77405217983,267.33285515581065
-72276.46155217983,288.2760726523407
-72218.46155217983,289.17598293451846
-71815.83655217983,292.01471846053363
-71925.77405217983,297.05883627548565
-71505.14905217983,295.8142777877399
-71563.61780217983,290.49008700092946
-71596.08655217983,290.9940811105882
-71853.14905217983,299.94985658817336
-71700.33655217983,293.16991782467653
-71814.64905217983,295.06398960942266
-71762.02405217983,299.45336921406226
-71308.30530217983,309.19616296139736
-70999.83655217983,315.7597172366282
-71149.64905217983,318.6575093179378
-70974.39905217983,310.5447950263411
-70891.71155217983,314.408612200501
-70719.27405217983,312.99041298181123
-70706.83655217983,313.0377548732209
-70605.58655217983,312.09961546724236
-70701.52405217983,318.8650428340439
-70644.39905217983,312.9824355214399
-70277.46155217983,336.262597453763
-70087.43030217983,336.681926999853
-70292.14905217983,340.4799385899441
-69863.21155217983,333.48768686514234
-69565.58655217983,332.99934561374545
-69347.89905217983,338.2645051204543
-69614.14905217983,334.8609200208322
-69419.52405217983,347.1321647979379
-69453.96155217983,334.8598259420896
-69027.58655217983,339.71245096899776
-69131.77405217983,340.8355211288205
-69289.18030217983,332.90027244671165
-69164.27405217983,344.8919462661651
-68899.46155217983,341.6294760452185
-68999.39905217983,330.8928953742811
-69080.08655217983,337.85605660611026
-69299.86780217983,337.6546850085198
-69066.52405217983,338.18073507350323
-69340.58655217983,342.92520710410014
-69268.14905217983,339.239434647428
-68987.77405217983,335.05107174048237
-68900.64905217983,333.8082160143209
-68735.46155217983,333.13898538781876
-68630.55530217983,326.85655029310215
-68774.27405217983,334.4320322344139
-68513.27405217983,329.552804277907
-68656.77405217983,345.74682617840637
-68515.89905217983,342.47721422203136
-68562.43030217983,335.6051081134006
-68489.71155217983,334.2956565371677
-68544.96155217983,339.33361500406636
-68683.21155217983,330.7158862836176
-68779.43030217983,337.7248872556924
-68509.02405217983,333.681395738127
-68428.64905217983,339.3722368464804
-68843.52405217983,331.58290316350156
-68528.83655217983,340.1385341344494
-68575.96155217983,332.8030272919225
-68548.52405217983,339.8690170586072
-68649.89905217983,330.1651949256959
-68758.93030217983,337.2459687706463
-68365.64905217983,335.03146560240157
-68395.08655217983,339.48755382898963
-68376.77405217983,339.8947481998468
-68596.08655217983,339.4386544765737
-68580.33655217983,335.3418892484011
-68442.39905217983,343.91842908022704
-68397.08655217983,338.5760873802779
-68237.46155217983,353.06551053825996
-68555.71155217983,325.6908775055457
-68596.36780217983,335.2667636511914
-68485.80530217983,341.7214155493425
-68628.96155217983,343.37620731655113
-68465.39905217983,337.80108156085635
-68708.46155217983,337.4350058158265
-68664.74280217983,337.10439849637936
-68608.89905217983,329.0957397657928
-68321.86780217983,337.6491844452616
-68446.14905217983,342.55314425728307
-68242.24280217983,338.75629392941204
-68052.46155217983,334.68863240451003
-68091.52405217983,331.7243388170005
-67772.58655217983,331.8849198694534
-68007.96155217983,339.5217452432659
-68112.39905217983,337.59077972813435
-68364.80530217983,336.7899971473279
-68142.08655217983,329.81832795813534
-68411.27405217983,337.70564744399167
-68183.77405217983,335.0919153823926
-68046.43030217983,339.1204230655177
-68297.46155217983,342.2556022736153
-68047.21155217983,341.04648075802805
-67964.96155217983,331.85218083961774
-67908.77405217983,344.48409640655535
-67860.89905217983,337.8708510974163
-67730.46155217983,343.8061286005688
-67926.64905217983,334.34495818463824
-67821.58655217983,338.1158839211634
-67976.58655217983,338.5986661039389
-67502.61780217983,343.5999014445055
-67963.14905217983,329.92458422422914
-67866.58655217983,338.22613380564553
-67687.68030217983,330.8659054084118
-67747.93030217983,340.3234968198344
-67864.14905217983,331.33407962764335
-68017.71155217983,342.4455460667211
-67925.89905217983,340.1478012287733
-67609.99280217983,331.8730982800719
-67816.61780217983,333.23678434169324
-67867.89905217983,335.1130559397453
-67738.21155217983,336.8222276361526
-67682.58655217983,333.6088073793957
-67597.05530217983,334.74631010720344
-67501.83655217983,337.36125077002015
-67495.43030217983,339.09679521641937
-67481.21155217983,330.8155179456438
-67933.21155217983,342.8820027633293
-67822.05530217983,339.56516916955655
-67701.02405217983,346.2561193481392
-67607.33655217983,328.05142507834915
-67464.77405217983,343.2828285312569
-67407.99280217983,340.61043052002265
-67772.80530217983,338.07081919857404
-67730.89905217983,334.6869079482176
-67877.33655217983,338.71414048814086
-67654.30530217983,332.9818205950321
-67599.71155217983,337.07704077322387
-67824.71155217983,335.0859794187213
-67768.27405217983,331.1360078196765
-67503.83655217983,333.331931523923
-67776.27405217983,337.18340796580827
-67612.55530217983,343.86745159420144
-67611.74280217983,337.0466158675624
-67647.33655217983,344.17111654288607
-67527.27405217983,334.7466826129632
-67766.93030217983,337.36074635967157
-67570.89905217983,340.4977242817177
-67253.33655217983,343.14037628771194
-67306.71155217983,338.6661299590731
-67238.46155217983,337.1524834448316
-67210.83655217983,334.7381111552584
-67384.93030217983,340.19309108291935
-67343.99280217983,333.5941605023679
-67677.39905217983,338.4948417932474
-67680.64905217983,332.9510203590443
-67438.39905217983,335.61263233149083
-67193.68030217983,337.01205511047107
-67233.14905217983,335.1544590638589
-67227.77405217983,336.0257070569089
-67581.39905217983,335.97592799710884
-67532.08655217983,337.92178519506115
-67474.02405217983,341.637752827304
-67526.02405217983,337.6454793859904
-67481.52405217983,342.24214685670836
-67502.08655217983,337.0824541856834
-67727.93030217983,336.5985756460789
-67624.27405217983,332.80639699773474
-67394.58655217983,346.1037505689451
-67543.52405217983,338.77341527282533
-67531.83655217983,345.89854193267286
-67308.58655217983,332.37646877385293
-67458.21155217983,337.0879568677685
-67633.89905217983,335.68869749186297
-67483.96155217983,346.2183097877277
-67195.96155217983,343.77765708265855
-67255.71155217983,345.6994383515191
-67357.93030217983,338.74159400482677
-67142.52405217983,339.62724038480513
-67570.43030217983,336.2150771250235
-67712.61780217983,337.0245408251576
-67402.89905217983,341.79705173595283
-67771.74280217983,326.5608919382528
-67720.74280217983,337.65686036360256
-67456.08655217983,345.22577594106053
-67618.64905217983,341.9210267454773
-67653.30530217983,336.27733095507745
-67649.89905217983,343.9860170686864
-67403.71155217983,338.3114819781813
-67364.39905217983,335.52902530587676
-67372.27405217983,327.69949346927797
-67265.77405217983,338.28642590439074
-67000.77405217983,329.695350295433
-67316.64905217983,346.0387901032833
-67736.89905217983,336.02797813990435
-67729.74280217983,334.5272462247619
-67208.89905217983,331.66980629949467
-67411.71155217983,337.8592548192762
-67363.89905217983,334.346345565827
-67281.80530217983,324.22530372886155
-67370.30530217983,341.0009775294202
-66980.08655217983,336.5247614103607
-67355.33655217983,333.6486227915262
-67288.14905217983,334.3303129287326
-67299.58655217983,336.4974923752877
-67296.52405217983,338.963158388695
-66973.55530217983,338.46598206146064
-67277.71155217983,335.230006378326
-67241.33655217983,339.25185205080766
-67143.08655217983,339.37154293600065
-67397.36780217983,335.19079003605407
-67175.83655217983,333.4390510742993
-67073.21155217983,329.7787010822437
-67261.24280217983,344.33111420231353
-67239.39905217983,341.26632248954473
-67293.89905217983,335.2866801095607
-67007.30530217983,338.03444032739674
-67313.86780217983,334.1910069376676
-66974.08655217983,336.5406490971058
-67162.89905217983,332.7417521102389
-67205.39905217983,338.6100458349054
-67241.52405217983,338.97579224173165
-67142.14905217983,332.32924643866096
-67178.71155217983,340.3885683863396
-67204.71155217983,334.42057701470594
-66945.52405217983,339.4157724738714
-67234.96155217983,333.53541457866226
-67138.27405217983,341.97195196622675
-67040.21155217983,341.50530301224353
-67328.14905217983,330.8018764606312
-67194.02405217983,343.7200098513891
-67439.43030217983,340.41795439059297
-67320.96155217983,339.4070762466868
-67207.33655217983,338.22027653219897
-67369.83655217983,340.78126246134286
-67298.21155217983,339.9908948565965
-67317.71155217983,332.04662628431333
-67092.93030217983,337.7445820557803
-67175.83655217983,342.8794657026627
-67071.05530217983,339.94578349182063
-67249.49280217983,339.4794118089787
-67170.77405217983,335.6417215335618
-67119.49280217983,337.41011111859905
-66964.52405217983,338.9501298201985
-66975.46155217983,330.88632005404884
-67040.27405217983,337.98891341996216
-67207.61780217983,337.5898831030738
-66953.80530217983,335.69864809682906
-66910.33655217983,337.48500909674425
-67020.68030217983,341.7278016739276
-66842.64905217983,344.0843461204456
-66824.18030217983,334.2985468243865
-66763.14905217983,342.3199379195309
-66848.08655217983,339.0130146315267
-66685.39905217983,336.4665692460492
-66873.55530217983,339.456243331671
-66563.96155217983,341.62471792384105
-66936.36780217983,336.13446920467305
-66816.08655217983,349.1684486801743
-66956.30530217983,336.8251756698737
-67126.08655217983,337.93320111183766
-67120.52405217983,339.337067657322
-66971.21155217983,335.8397966192396
-66868.71155217983,344.939250545977
-66556.71155217983,338.10889106913874
-66784.49280217983,329.5814815927635
-66854.68030217983,333.27382760424905
-66601.30530217983,338.710334580049
-66562.58655217983,335.2923846880079
-66875.21155217983,338.3080645422867
-66868.52405217983,341.7868800130151
-66868.64905217983,343.62628978423186
-66959.24280217983,331.6346368897844
-66885.89905217983,342.39091512291736
-66963.30530217983,338.8566591078877
-66817.61780217983,330.45402450343386
-67008.74280217983,341.7209956318441
-66823.77405217983,328.54470826442974
-66840.46155217983,336.93671453500576
-66868.39905217983,330.5563509807058
-66768.30530217983,342.5625759017507
-66578.55530217983,331.95655251581
-66711.86780217983,332.8788711952936
-66757.83655217983,333.2591515545177
-66784.68030217983,334.30525377751053
-66788.58655217983,334.94379797268937
-67019.58655217983,336.4409778158588
-66883.43030217983,339.236566428313
-66810.24280217983,337.1403787081504
-66718.64905217983,337.1538658741333
-67028.93030217983,343.5159248869067
-66723.71155217983,338.021009391844
-66708.83655217983,339.0777214238734
-66629.83655217983,346.4430317616697
-66390.14905217983,343.40100794538495
-66950.71155217983,330.48391751962833
-66584.89905217983,338.5711910684303
-66731.83655217983,331.18577254902755
-66769.58655217983,339.641671315923
-67056.02405217983,343.6110940711542
-66660.58655217983,338.08922117335277
-66690.71155217983,333.3345091231656
-66474.46155217983,338.23800403347474
-66686.08655217983,341.8479558067503
-66641.46155217983,339.9541146260941
-66709.52405217983,335.55494618838856
-66769.83655217983,336.37345223740624
-66840.02405217983,341.13072182032664
-66799.36780217983,338.88929494895365
-66950.58655217983,346.37339533723554
-66694.74280217983,335.49472867028237
-66821.89905217983,335.6566914401113
-66819.08655217983,330.3474288011184
-66837.46155217983,334.75651882165
-66708.46155217983,343.4425350089489
-66840.08655217983,339.58347505933773
-66692.08655217983,337.9569495057332
-66706.02405217983,338.0364727151554
-66735.05530217983,342.4873952566794
-66648.27405217983,341.05176046178144
-66787.93030217983,332.8117172530412
-66603.52405217983,332.2361797058754
-66850.74280217983,335.0618250695184
-66899.64905217983,342.6752672664106
-66582.61780217983,331.65414348040593
-66413.80530217983,332.7489340340588
-66432.52405217983,338.3699227636077
-66440.08655217983,343.49864216347123
-66251.74280217983,341.8833618956925
-66527.33655217983,341.9093936467497
-66398.02405217983,336.0121338376899
-66452.02405217983,341.5214008910401
-66538.99280217983,336.2618654396871
-66489.89905217983,337.02814227752395
-66721.71155217983,338.13784167068764
-66520.86780217983,338.7779149330782
-66603.27405217983,339.5683274016883
-66510.52405217983,335.4045348089529
-66624.02405217983,335.8349102419426
-66312.83655217983,339.0828330615806
-66558.52405217983,336.0250825004325
-66266.93030217983,335.03195271695074
-66540.27405217983,335.83159262894986
-66556.02405217983,331.09102747717185
-66543.24280217983,334.47717393966735
-66690.77405217983,334.18301482524686
-66470.64905217983,342.1589672444494
-66664.74280217983,336.7003049947649
-66760.71155217983,333.923407885808
-66515.52405217983,341.73387577785456
-66713.14905217983,344.4064766407533
-66836.58655217983,331.47206126926085
-66739.11780217983,340.5039839749603
-66638.39905217983,339.5100797020885
-66417.39905217983,330.9807007170311
-66355.77405217983,337.72125685789695
-66610.77405217983,339.31205504842495
-66550.80530217983,337.61449194143194
-66501.96155217983,340.5745624634245
-66689.33655217983,338.8488542365298
-66688.77405217983,331.4990324136939
-66879.52405217983,338.72354591573804
-66538.39905217983,336.81962662956283
-66523.83655217983,344.50886689307254
-66536.33655217983,341.89146329573447
-66541.83655217983,337.6497068274578
-66562.58655217983,341.2230831800618
-66816.08655217983,340.3664547806726
-66223.64905217983,332.18378400005463
-66590.24280217983,339.7939161497565
-66542.43030217983,339.0845000268252
-66543.49280217983,345.17226405874885
-66716.39905217983,330.22825182779843
-66550.74280217983,337.0640053578343
-66404.33655217983,336.1640328507749
-66146.77405217983,338.5752654121916
-66204.80530217983,332.6319207035898
-66345.89905217983,335.4881430860694
-66511.89905217983,338.18190982130136
-66643.08655217983,329.6820756731003
-66539.21155217983,339.71412404073027
-66794.58655217983,333.01140880467295
-66851.21155217983,341.8389921624235
-66509.33655217983,335.899141615142
-66794.14905217983,334.23199926112136
-66645.33655217983,338.81586046298804
-66714.27405217983,335.0525540453487
-66772.24280217983,335.86805011912696
-66609.61780217983,339.1326864704847
-66823.64905217983,341.5013103618125
-66518.52405217983,335.1555690279793
-66802.33655217983,343.0430608527795
-66601.46155217983,342.17714490204537
-66784.49280217983,338.9902143748725
-66452.93030217983,339.3459730077809
-66627.58655217983,334.3156657328254
-66500.21155217983,333.0856103389483
-66468.96155217983,341.97931706440284
-66434.77405217983,340.6333985468124
-66387.46155217983,339.309536534077
-66609.96155217983,331.7187269062861
-66176.02405217983,343.12587078420603
-66446.08655217983,329.138838748148
-66620.02405217983,335.18505204624677
-66713.68030217983,340.1208144792411
-66509.27405217983,344.4866140638478
-66275.77405217983,342.1388462101655
-66174.74280217983,340.6006997691931
-66512.55530217983,326.36100806264477
-66443.36780217983,336.15025679490907
-66391.14905217983,332.65840498963536
-66499.02405217983,339.11544891432294
-66708.77405217983,338.2267609598271
-66430.52405217983,327.8635001251964
-66440.77405217983,344.91257774549786
-66249.64905217983,345.4782601166879
-66384.89905217983,330.5134123861909
