#"Potential Energy (kJ/mole)","Temperature (K)"
-84118.38153902919,0.7564196747828665
-84250.94403902919,0.12394508754685787
-84285.56903902919,0.015540450090672713
-84286.81903902919,0.00010698540908188252
-84286.88153902919,1.8648608252519186e-06
-84286.88153902919,1.6089534646031022e-06
-84286.81903902919,1.5510163136708787e-06
-84286.88153902919,1.5918541070786381e-06
-84286.75653902919,1.5919075419908338e-06
-84286.94403902919,1.6818460983776444e-06
-83524.00653902919,20.794726168582436
-83701.72528902919,20.00601736007264
-83766.06903902919,20.032001652997504
-83794.00653902919,19.975971890622855
-83852.00653902919,20.059679676683853
-83878.60028902919,19.975017281438177
-83889.06903902919,19.769818029759758
-83880.31903902919,20.050534668294276
-83889.81903902919,19.66893654348254
-83883.63153902919,20.73375828305258
-83078.19403902919,40.02809065547987
-83139.25653902919,40.32493701320055
-83173.88153902919,41.21040379551089
-83295.81903902919,40.819480096931585
-83480.10028902919,40.2635354599243
-83538.38153902919,39.10925811225448
-83570.94403902919,39.71287979578005
-83607.00653902919,40.87114555524952
-83599.44403902919,40.128920910987915
-83621.13153902919,40.71068493443351
-82679.56903902919,60.47205402862188
-82933.06903902919,59.97372681107771
-82993.38153902919,59.888711334137476
-83028.38153902919,61.20564000470432
-83124.50653902919,59.73815366824078
-83131.00653902919,58.481694702749266
-83182.50653902919,59.96471123879133
-83236.81903902919,59.81696833564004
-83137.66278902919,60.62786969286837
-83185.60028902919,60.05487945298359
-82307.88153902919,80.551438643129
-82269.16278902919,78.36165864515078
-82352.69403902919,80.98735810825336
-82477.28778902919,80.66988630796607
-82450.00653902919,80.54845167066891
-82559.81903902919,79.2218471953419
-82479.63153902919,79.43590884746584
-82529.25653902919,79.21430762352205
-82514.19403902919,78.31901611762609
-82555.19403902919,80.46500937916781
-81599.16278902919,98.81514007647874
-81723.28778902919,100.89628581782794
-81787.81903902919,99.91816915369222
-81714.44403902919,99.80539292501714
-81872.50653902919,101.50759377860541
-81913.63153902919,100.45832555733607
-81879.44403902919,100.91401840230087
-81924.13153902919,100.88037560059364
-81888.13153902919,101.37557745405527
-81909.28778902919,100.6121494588421
-80992.19403902919,123.77839365446185
-80943.00653902919,120.37154721238318
-81033.38153902919,122.35988151857583
-81077.63153902919,119.35058049342942
-81063.81903902919,118.64164633459806
-80993.69403902919,121.9325343996682
-81076.85028902919,120.59392656186117
-81251.35028902919,120.23550625815103
-81278.13153902919,119.48420847537808
-81129.19403902919,119.18705025506732
-80133.81903902919,140.9584241959156
-80382.38153902919,142.0507299955381
-80361.63153902919,144.65718100944838
-80482.72528902919,138.0868174598793
-80203.00653902919,140.1705791540103
-80594.69403902919,140.78362291085878
-80409.69403902919,143.62392082767732
-80454.31903902919,140.5581905086842
-80524.69403902919,142.20246836736618
-80422.16278902919,140.03114177297562
-79291.97528902919,163.76591333991115
-79485.56903902919,163.81005666541998
-79389.16278902919,157.9263427304803
-79604.91278902919,164.32663692890017
-79621.53778902919,158.0571334256534
-79229.19403902919,163.53278082379342
-79714.19403902919,162.63974899651686
-79710.31903902919,158.87107989023175
-79646.50653902919,164.4073842336226
-79557.10028902919,162.0549106258262
-78694.69403902919,180.02631449966995
-78557.16278902919,180.05565024355482
-78498.88153902919,182.70691399724583
-78678.13153902919,183.66793145598098
-78437.88153902919,181.45570515936447
-78721.47528902919,178.82083624265672
-78428.44403902919,177.98629711541074
-78666.25653902919,178.515337945117
-78695.94403902919,175.4801379079581
-78647.03778902919,177.17994691085713
-77331.00653902919,203.28217090244962
-77502.66278902919,199.06092217537073
-76858.47528902919,201.28982827017154
-76787.53778902919,193.1799760334248
-76995.25653902919,203.66923889233527
-77095.19403902919,196.71657818015717
-76898.94403902919,202.63806418214375
-76860.00653902919,202.08126156130425
-76802.66278902919,200.61938139948919
-76887.56903902919,201.3799583240665
-74929.25653902919,221.90438288291318
-74928.81903902919,221.5374307909503
-74718.50653902919,226.79693609025338
-74234.78778902919,219.11734738256231
-74597.35028902919,220.12469901016703
-74217.75653902919,219.12242126681633
-74400.69403902919,216.08866953183764
-74091.47528902919,217.1827152646978
-74002.22528902919,223.44066106438476
-73855.31903902919,222.44521895286957
-71848.88153902919,246.84184904614622
-72029.60028902919,238.86063031129206
-72187.94403902919,240.69665498766156
-71948.56903902919,240.94426143885346
-71412.44403902919,242.59621590207396
-71718.81903902919,234.52772611800194
-71867.88153902919,247.4810109408835
-71920.13153902919,241.94577093391928
-71616.06903902919,234.98995589828348
-72332.60028902919,242.71030771919646
-70394.38153902919,265.5518593933511
-69843.72528902919,255.0644267554087
-69746.69403902919,255.43049331911095
-69665.94403902919,257.9574853914468
-70265.41278902919,260.6866400442292
-69737.50653902919,256.8175362246907
-69891.25653902919,262.463451184109
